Model,Manual_annotated_sentences,Date-Drug_annotations,Generated_annotations,Total_annotations,Type_of_evaluation,Initiation_[95%_CI],Continuation_[95%_CI],Termination_[95%_CI],Ambiguous_[95%_CI],NoRelationship_[95%_CI],Macro_[95%_CI]
DrBERT4GB-CP-PubMedBERT,740,2406,0,2406,f1-score,0.749 [0.695 - 0.801],0.338 [0.206 - 0.463],0.75 [0.682 - 0.815],0.351 [0.222 - 0.456],0.755 [0.701 - 0.804],0.588 [0.543 - 0.633]
DrBERT4GB-CP-PubMedBERT,1035,3235,0,3235,precision,0.797 [0.729 - 0.861],0.52 [0.432 - 0.6],0.879 [0.8 - 0.953],0.345 [0.167 - 0.5],0.848 [0.789 - 0.908],0.678 [0.635 - 0.723]
DrBERT4GB-CP-PubMedBERT,1035,3235,0,3235,recall,0.732 [0.658 - 0.802],0.792 [0.702 - 0.881],0.831 [0.744 - 0.911],0.354 [0.179 - 0.524],0.719 [0.649 - 0.782],0.685 [0.639 - 0.731]
DrBERT4GB-CP-PubMedBERT,1035,3235,0,3235,f1-score,0.762 [0.704 - 0.82],0.627 [0.546 - 0.704],0.853 [0.783 - 0.908],0.346 [0.169 - 0.479],0.778 [0.728 - 0.823],0.673 [0.629 - 0.718]
DrBERT4GB-CP-PubMedBERT,1035,3235,3000,6235,precision,0.845 [0.78 - 0.898],0.653 [0.563 - 0.747],0.759 [0.67 - 0.838],0.32 [0.184 - 0.468],0.875 [0.814 - 0.934],0.69 [0.652 - 0.729]
DrBERT4GB-CP-PubMedBERT,1035,3235,3000,6235,recall,0.838 [0.781 - 0.894],0.782 [0.685 - 0.857],0.897 [0.827 - 0.96],0.478 [0.304 - 0.676],0.661 [0.588 - 0.734],0.731 [0.687 - 0.778]
DrBERT4GB-CP-PubMedBERT,1035,3235,3000,6235,f1-score,0.841 [0.797 - 0.881],0.711 [0.632 - 0.782],0.821 [0.755 - 0.876],0.38 [0.24 - 0.526],0.752 [0.699 - 0.802],0.701 [0.661 - 0.742]
DrBERT4GB-CP-PubMedBERT,1035,3235,9000,12235,precision,0.824 [0.768 - 0.879],0.833 [0.731 - 0.917],0.887 [0.817 - 0.95],0.266 [0.162 - 0.386],0.835 [0.775 - 0.885],0.729 [0.696 - 0.764]
DrBERT4GB-CP-PubMedBERT,1035,3235,9000,12235,recall,0.872 [0.82 - 0.925],0.659 [0.544 - 0.762],0.831 [0.74 - 0.905],0.542 [0.355 - 0.727],0.751 [0.692 - 0.814],0.731 [0.682 - 0.78]
DrBERT4GB-CP-PubMedBERT,1035,3235,9000,12235,f1-score,0.847 [0.8 - 0.886],0.734 [0.649 - 0.81],0.857 [0.8 - 0.906],0.354 [0.232 - 0.478],0.791 [0.74 - 0.838],0.717 [0.68 - 0.755]
